lambda_op	Bop
2550	0.0902231929050576
2541.17647058824	0.0905560146626021
2532.41379310345	0.0908888364201465
2523.71134020619	0.0914545563405565
2515.06849315068	0.0920564381353269
2506.48464163823	0.0927849197050775
2497.95918367347	0.0933861128221353
2489.49152542373	0.0936836435941629
2481.08108108108	0.0936620077814656
2472.72727272727	0.0933009957559378
2464.42953020134	0.0930415981270876
2456.1872909699	0.0928313612901448
2448	0.0936671263564378
2439.86710963455	0.0947274226146382
2431.7880794702	0.0968485824877544
2423.76237623762	0.0989293715356499
2415.78947368421	0.100883582536677
2407.86885245902	0.102257740205283
2400	0.102866442529475
2392.18241042345	0.102621023765806
2384.41558441558	0.101852986295916
2376.69902912621	0.100635818221943
2369.03225806452	0.0993130815946454
2361.41479099678	0.0981793068372744
2353.84615384615	0.0971384641660534
2346.32587859425	0.0964974802103782
2338.85350318471	0.096039364373234
2331.42857142857	0.0958827321433766
2324.05063291139	0.0958412521685651
2316.71924290221	0.095887767100885
2309.43396226415	0.0957373741790708
2302.19435736677	0.0955234740447477
2295	0.0949238188993914
2287.85046728972	0.0943308036118688
2280.74534161491	0.0939234816344251
2273.68421052632	0.0938966225640167
2266.66666666667	0.094663569181948
2259.69230769231	0.0961289391073221
2252.76073619632	0.0982565641216108
2245.87155963303	0.100586786379532
2239.0243902439	0.103002773871714
2232.2188449848	0.104343093565241
2225.45454545455	0.105404178723472
2218.73111782477	0.104780355794506
2212.04819277108	0.103834981484456
2205.4054054054	0.102022198008246
2198.80239520958	0.100214528097884
2192.23880597015	0.0984128674022005
2185.71428571429	0.0971521549346566
2179.22848664688	0.0961839712645694
2172.78106508876	0.0960393291415975
2166.37168141593	0.0960746518850785
2160	0.0968543000861173
2153.66568914956	0.0977576324131443
2147.36842105263	0.0991075293252408
2141.10787172012	0.100645244602026
2134.88372093023	0.102457538425344
2128.69565217391	0.104361479952533
2122.54335260116	0.106327680687255
2116.4265129683	0.107877692045731
2110.34482758621	0.109313555893428
2104.29799426934	0.109487409214006
2098.28571428571	0.109371070648762
